SUBJECT,Subject,LOCATION,Country,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2015-01,15-Jan,PC,Percentage,0,Units,,,1.88,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2015-02,15-Feb,PC,Percentage,0,Units,,,1.98,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2015-03,15-Mar,PC,Percentage,0,Units,,,2.04,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2015-04,15-Apr,PC,Percentage,0,Units,,,1.94,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2015-05,15-May,PC,Percentage,0,Units,,,2.2,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2015-06,15-Jun,PC,Percentage,0,Units,,,2.36,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2015-07,15-Jul,PC,Percentage,0,Units,,,2.32,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2015-08,15-Aug,PC,Percentage,0,Units,,,2.17,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2015-09,15-Sep,PC,Percentage,0,Units,,,2.17,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2015-10,15-Oct,PC,Percentage,0,Units,,,2.07,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2015-11,15-Nov,PC,Percentage,0,Units,,,2.26,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2015-12,15-Dec,PC,Percentage,0,Units,,,2.24,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2016-01,16-Jan,PC,Percentage,0,Units,,,2.09,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2016-02,16-Feb,PC,Percentage,0,Units,,,1.78,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2016-03,16-Mar,PC,Percentage,0,Units,,,1.89,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2016-04,16-Apr,PC,Percentage,0,Units,,,1.81,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2016-05,16-May,PC,Percentage,0,Units,,,1.81,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2016-06,16-Jun,PC,Percentage,0,Units,,,1.64,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2016-07,16-Jul,PC,Percentage,0,Units,,,1.5,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2016-08,16-Aug,PC,Percentage,0,Units,,,1.56,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2016-09,16-Sep,PC,Percentage,0,Units,,,1.63,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2016-10,16-Oct,PC,Percentage,0,Units,,,1.76,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2016-11,16-Nov,PC,Percentage,0,Units,,,2.14,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2016-12,16-Dec,PC,Percentage,0,Units,,,2.49,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2017-01,17-Jan,PC,Percentage,0,Units,,,2.43,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2017-02,17-Feb,PC,Percentage,0,Units,,,2.42,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2017-03,17-Mar,PC,Percentage,0,Units,,,2.48,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2017-04,17-Apr,PC,Percentage,0,Units,,,2.3,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2017-05,17-May,PC,Percentage,0,Units,,,2.3,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2017-06,17-Jun,PC,Percentage,0,Units,,,2.19,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2017-07,17-Jul,PC,Percentage,0,Units,,,2.32,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2017-08,17-Aug,PC,Percentage,0,Units,,,2.21,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2017-09,17-Sep,PC,Percentage,0,Units,,,2.2,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2017-10,17-Oct,PC,Percentage,0,Units,,,2.36,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2017-11,17-Nov,PC,Percentage,0,Units,,,2.35,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2017-12,17-Dec,PC,Percentage,0,Units,,,2.4,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2018-01,18-Jan,PC,Percentage,0,Units,,,2.58,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2018-02,18-Feb,PC,Percentage,0,Units,,,2.86,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2018-03,18-Mar,PC,Percentage,0,Units,,,2.84,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2018-04,18-Apr,PC,Percentage,0,Units,,,2.87,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2018-05,18-May,PC,Percentage,0,Units,,,2.98,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2018-06,18-Jun,PC,Percentage,0,Units,,,2.91,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2018-07,18-Jul,PC,Percentage,0,Units,,,2.89,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2018-08,18-Aug,PC,Percentage,0,Units,,,2.89,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2018-09,18-Sep,PC,Percentage,0,Units,,,3,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2018-10,18-Oct,PC,Percentage,0,Units,,,3.15,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2018-11,18-Nov,PC,Percentage,0,Units,,,3.12,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2018-12,18-Dec,PC,Percentage,0,Units,,,2.83,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2019-01,19-Jan,PC,Percentage,0,Units,,,2.71,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2019-02,19-Feb,PC,Percentage,0,Units,,,2.68,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2019-03,19-Mar,PC,Percentage,0,Units,,,2.57,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2019-04,19-Apr,PC,Percentage,0,Units,,,2.53,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2019-05,19-May,PC,Percentage,0,Units,,,2.4,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2019-06,19-Jun,PC,Percentage,0,Units,,,2.07,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2019-07,19-Jul,PC,Percentage,0,Units,,,2.06,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2019-08,19-Aug,PC,Percentage,0,Units,,,1.63,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2019-09,19-Sep,PC,Percentage,0,Units,,,1.7,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2019-10,19-Oct,PC,Percentage,0,Units,,,1.71,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2019-11,19-Nov,PC,Percentage,0,Units,,,1.81,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2019-12,19-Dec,PC,Percentage,0,Units,,,1.86,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2020-01,20-Jan,PC,Percentage,0,Units,,,1.76,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2020-02,20-Feb,PC,Percentage,0,Units,,,1.5,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2020-03,20-Mar,PC,Percentage,0,Units,,,0.87,,
IRLT,"Long-term interest rates, Per cent per annum",USA,United States,M,Monthly,2020-04,20-Apr,PC,Percentage,0,Units,,,0.66,,
,,,,,,2020-05,,,,,,,,100,,
